vendor_id,vendor_name,country,currency,category,payment_terms,critical_vendor,bank_iban
V1001,RheinStahl AG,DE,EUR,Steel,NET30,Y,DE89370400440532013000
V1002,SKF Bearings GmbH,DE,EUR,Bearings,NET45,Y,DE12500105170648489890
V1003,Bosch Elektronik GmbH,DE,EUR,Electronics,NET30,N,DE44500105175407324931
V1004,HydraTech Components GmbH,DE,EUR,Hydraulics,NET30,N,DE21500105172983471829
V1005,Continental Castings GmbH,DE,EUR,Castings,NET60,Y,DE76500105178472619283
V2001,Cleveland Steel Co,US,USD,Steel,NET30,Y,US64SVBKUS6S3300958879
V2002,Ohio Fasteners Inc,US,USD,Fasteners,NET30,N,US12CHASUS3300451287
V2003,Global Logistics LLC,US,USD,Freight,NET15,N,US33WFBIUS6S2200781234
V2004,Apex Consulting LLC,US,USD,Professional Services,NET30,N,US90CITIUS3300667788
V3001,Pune Precision Pvt Ltd,IN,INR,Machined Parts,NET45,Y,IN50HDFC0001234567890
V3002,Bharat Packaging Ltd,IN,INR,Packaging,NET30,N,IN72ICIC0004567891234
V3003,CalibPro Services,IN,INR,Calibration,NET30,N,IN88SBIN0007654321098
